,S.No,actual,pred,alive,plod,name,title,male,culture,dateOfBirth,DateoFdeath,mother,father,heir,house,spouse,book1,book2,book3,book4,book5,isAliveMother,isAliveFather,isAliveHeir,isAliveSpouse,isMarried,isNoble,age,numDeadRelations,boolDeadRelations,isPopular,popularity,isAlive
52,53,0,1,0.875,0.125,Leobald Tallhart,Castellan,1,Northmen,,299.0,,,,House Tallhart,Berena Hornwood,0,1,1,1,1,,,,1.0,1,1,,0,0,0,0.11036789297658801,0
53,54,0,0,0.069,0.9309999999999999,Maegor I Targaryen,,1,,,,Visenya Targaryen,Aegon I Targaryen,Jaehaerys Targaryen,,,0,0,0,0,0,0.0,0.0,1.0,,0,0,,0,0,1,0.7056856187290971,0
54,55,1,0,0.35200000000000004,0.648,Margaery Tyrell,Seven Kingdoms,0,Reach,283.0,,,,,House Tyrell,Renly Baratheon,1,1,1,1,1,,,,0.0,1,1,22.0,3,1,1,1.0,1
55,56,0,0,0.0,1.0,Naerys Targaryen,PrincessQueen,0,Valyrian,138.0,,,,,House Targaryen,Aegon IV Targaryen,1,0,0,0,0,,,,0.0,1,1,100.0,12,1,0,0.220735785953177,0
56,57,1,1,0.988,0.012,Quence,,0,Braavosi,,,,,,,,0,0,0,1,0,,,,,0,0,,0,0,0,0.020066889632107,1
57,58,1,1,0.898,0.102,Quellon Botley,,1,Ironborn,,,,,,House Botley,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0468227424749163,1
58,59,0,1,0.7040000000000001,0.29600000000000004,Quellon Greyjoy,Lord of the Iron Islands,1,Ironborn,,283.0,,,,House Greyjoy,Stonetree,0,0,0,1,0,,,,1.0,1,1,,0,0,0,0.0903010033444816,0
59,60,0,0,0.09,0.91,Quentyn Blackwood,Lord,0,,,206.0,,,,House Blackwood,,0,0,0,0,0,,,,,0,1,,0,0,0,0.020066889632107,0
60,61,1,1,0.767,0.233,Quenton Greyjoy,,1,Ironborn,,,,,,House Greyjoy,,0,0,0,1,0,,,,,0,0,,0,0,0,0.060200668896321,1
61,62,1,1,0.968,0.032,Quhuru Mo,,1,Summer Isles,,,,,,,,0,1,0,1,0,,,,,0,0,,0,0,0,0.040133779264214,1
62,63,1,0,0.382,0.618,Quickfinger,,1,,,,,,,House Blackfyre,,0,0,0,0,0,,,,,0,0,,0,0,0,0.0100334448160535,1
63,64,1,1,0.9840000000000001,0.016,Quill,,1,Braavosi,,,,,,,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0167224080267558,1
64,65,1,1,0.9159999999999999,0.084,Quentin Tyrell,Ser,0,,,,,,,House Tyrell,,0,0,1,1,0,,,,,0,1,,0,0,0,0.127090301003344,1
65,66,0,1,0.65,0.35,Quort,,1,,285.0,299.0,,,,wildling,,0,0,1,0,0,,,,,0,0,14.0,0,0,0,0.0100334448160535,0
66,67,0,1,0.7829999999999999,0.217,Qyle,,1,,,299.0,,,,,,0,1,0,0,0,,,,,0,0,,0,0,0,0.0133779264214046,0
67,68,1,1,0.74,0.26,Rafe,,0,,,,,,,,,0,0,0,0,0,,,,,0,0,,0,0,0,0.00668896321070234,1
68,69,1,0,0.363,0.637,Racallio Ryndoon,,1,Tyroshi,,,,,,Kingdom of the Three Daughters,,0,0,0,0,0,,,,,0,0,,0,0,0,0.0100334448160535,1
69,70,1,1,0.988,0.012,Ragnor Pyke,,0,Ironborn,,,,,,House Greyjoy,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0100334448160535,1
70,71,1,1,0.7090000000000001,0.29100000000000004,Rainbow Knight,,0,,,,,,,,,1,0,0,0,0,,,,,0,0,,0,0,0,0.00334448160535117,1
71,72,1,1,0.746,0.254,Randa,,0,,,,,,,,,0,0,1,0,0,,,,,0,0,,0,0,0,0.00334448160535117,1
72,73,0,0,0.132,0.868,Rast,,1,,,299.0,,,,Night's Watch,,1,1,1,0,0,,,,,0,0,,0,0,0,0.0668896321070234,0
73,74,1,1,0.991,0.009000000000000001,Rawney,Brother,1,,,,,,,,,0,0,0,1,0,,,,,0,1,,0,0,0,0.0100334448160535,1
74,75,1,1,0.716,0.284,Raymar Royce,Lord,1,,,,,,,House Royce of the Gates of the Moon,,0,0,1,0,0,,,,,0,1,,0,0,0,0.0133779264214046,1
75,76,1,1,0.982,0.018000000000000002,Raymond Nayland,Ser,0,,,,,,,House Nayland,,0,0,0,1,0,,,,,0,1,,0,0,0,0.0167224080267558,1
76,77,1,1,0.9229999999999999,0.077,Raymund Tyrell,,0,,,,,,,House Tyrell,,0,0,1,1,0,,,,,0,0,,0,0,0,0.127090301003344,1
77,78,1,1,0.998,0.002,Red Oarsman,,0,Ironborn,,,,,,,,0,0,0,1,1,,,,,0,0,,0,0,0,0.0167224080267558,1
78,79,1,1,0.9259999999999999,0.07400000000000001,Red Lamb,Ser,1,Lhazarene,,,,,,House Targaryen,,0,0,0,0,0,,,,,0,1,,0,0,0,0.0,1
79,80,1,1,0.7829999999999999,0.217,Redtusk,Ser,1,,,,,,,,,0,0,0,0,0,,,,,0,1,,0,0,0,0.0167224080267558,1
80,81,0,0,0.28300000000000003,0.7170000000000001,Red Rolfe,,1,,,299.0,,,,House Greyjoy,,0,1,0,0,0,,,,,0,0,,0,0,0,0.0133779264214046,0
81,82,1,1,0.7120000000000001,0.28800000000000003,Redwyn,,0,,,,,,,Night's Watch,,0,1,0,0,0,,,,,0,0,,0,0,0,0.00668896321070234,1
82,83,1,1,0.843,0.157,Reynard Webber,Lord of Coldmoat,0,,,,,,,House Webber,,0,0,0,0,0,,,,,0,1,,0,0,0,0.00668896321070234,1
83,84,1,1,0.7170000000000001,0.28300000000000003,Reysen,,1,,,,,,,,,0,1,0,0,0,,,,,0,0,,0,0,0,0.0234113712374581,1
84,85,0,0,0.001,0.9990000000000001,Rhaegel Targaryen,Prince of Dragonstone,1,Valyrian,173.0,215.0,,,,House Targaryen,Alys Arryn,0,0,0,0,0,,,,1.0,1,1,42.0,3,1,0,0.0969899665551839,0
85,86,0,0,0.004,0.996,Rhaena Targaryen (daughter of Daemon),Lady,0,,116.0,,,,,House Targaryen,Corwyn Corbray,0,0,0,0,0,,,,1.0,1,1,100.0,0,0,0,0.14381270903010002,0
86,87,0,0,0.0,1.0,Rhaena Targaryen (daughter of Aegon III),PrincessSepta,0,Valyrian,147.0,,,,,House Targaryen,,0,0,0,0,0,,,,,0,1,100.0,0,0,0,0.0735785953177257,0
87,88,0,0,0.002,0.998,Rhaenys Targaryen,Queen,0,Valyrian,-25.0,10.0,,,,House Targaryen,Aegon I Targaryen,1,0,0,0,0,,,,0.0,1,1,35.0,1,1,0,0.277591973244147,0
88,89,0,1,0.763,0.237,Rhaenys Targaryen (daughter of Rhaegar),Princess,0,,280.0,283.0,,,,House Targaryen,,1,1,1,1,1,,,,,0,1,3.0,10,1,0,0.244147157190635,0
89,90,1,1,0.99,0.01,Rhialta Vance,,0,,,,,,,House Vance of Wayfarer's Rest,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0167224080267558,1
90,91,0,0,0.242,0.758,Rhaenys Targaryen (daughter of Aemon),Princess,0,Valyrian,74.0,129.0,,,,House Targaryen,Corlys Velaryon,0,0,0,0,0,,,,0.0,1,1,55.0,0,0,0,0.14381270903010002,0
91,92,1,1,0.5589999999999999,0.441,Rhonda Rowan,,0,,,,,,,House Rowan,Baelor Hightower,0,0,0,1,0,,,,1.0,1,0,,0,0,0,0.0501672240802675,1
92,93,0,1,0.9790000000000001,0.021,Richard Farrow,Ser,0,,,299.0,,,,House Farrow,,0,0,0,1,0,,,,,0,1,,0,0,0,0.0167224080267558,0
93,94,1,0,0.03,0.97,Richard Lonmouth,Ser,1,,,,,,,House Lonmouth,,0,0,1,0,0,,,,,0,1,,0,0,0,0.0234113712374581,1
94,95,1,1,0.998,0.002,Rigney,Archmaester,1,,,,,,,,,0,0,0,1,0,,,,,0,1,,0,0,0,0.00334448160535117,1
95,96,1,1,0.705,0.295,Rob,,1,,,,,,,House Osgrey,,0,0,0,0,0,,,,,0,0,,0,0,0,0.00334448160535117,1
96,97,1,1,0.9059999999999999,0.094,Rickard Tyrell,,1,,,,,,,House Tyrell,,0,0,1,1,0,,,,,0,0,,0,0,0,0.123745819397993,1
97,98,1,1,0.718,0.282,Robb Reyne,Ser,1,,,,,,,House Reyne,,0,0,0,0,0,,,,,0,1,,0,0,0,0.00668896321070234,1
98,99,1,0,0.213,0.787,Robert Ashford,Ser,1,Reach,,,,,,House Ashford,,0,0,0,0,0,,,,,0,1,,0,0,0,0.0234113712374581,1
99,100,1,0,0.455,0.545,Robert Brax (son of Flement),,1,,290.0,,,,,House Brax,,0,1,1,1,0,,,,,0,0,15.0,0,0,0,0.120401337792642,1
100,101,1,1,0.7240000000000001,0.276,Robert Paege,Ser,0,,,,,,,House Paege,,0,0,1,0,0,,,,,0,1,,0,0,0,0.0100334448160535,1
101,102,0,0,0.036000000000000004,0.9640000000000001,Robb Stark,,1,,,,Catelyn Stark,Eddard Stark,Bran Stark,,,0,0,0,0,0,0.0,0.0,1.0,,0,0,,7,1,1,1.0,0
102,103,1,1,0.987,0.013000000000000001,Robin,,1,,,,,,,,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0167224080267558,1
103,104,1,1,0.768,0.23199999999999998,Robert Frey (son of Raymund),,1,,283.0,,,,,House Frey,,0,1,1,1,0,,,,,0,0,22.0,0,0,0,0.147157190635451,1
104,105,1,1,0.759,0.24100000000000002,Robin Greyjoy,,1,Ironborn,,,,,,House Greyjoy,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0635451505016722,1
105,106,1,1,0.767,0.233,Robin Hollard,,1,,,,,,,House Hollard,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0267558528428093,1
106,107,1,1,0.998,0.002,Rodrik Freeborn,,1,Ironborn,,,,,,,,0,0,0,1,1,,,,,0,0,,0,0,0,0.0133779264214046,1
107,108,1,1,0.9890000000000001,0.011000000000000001,Roelle,Septa,0,,,,,,,House Tarth,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0,1
108,109,1,0,0.18600000000000003,0.8140000000000001,Rodrik Stark (son of Beron),,1,Northmen,,,,,,House Stark,Arya Flint,0,0,0,0,1,,,,1.0,1,0,,0,0,0,0.10033444816053501,1
109,110,0,0,0.198,0.802,Roger of Pennytree,,1,,,194.0,,,,,,0,0,0,0,0,,,,,0,0,,0,0,0,0.0301003344481605,0
110,111,1,1,0.982,0.018000000000000002,Roggo,,0,Braavosi,,,,,,,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0133779264214046,1
111,112,1,0,0.478,0.522,Roger Ryswell,,1,Northmen,,,,,,House Ryswell,,0,0,0,1,1,,,,,0,0,,0,0,0,0.0468227424749163,1
112,113,1,1,0.993,0.006999999999999999,Rolder,,1,,,,,,,House Lannister,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0,1
113,114,1,1,0.759,0.24100000000000002,Roland Crakehall (Kingsguard),Ser,1,,,,,,,House Crakehall,,0,0,0,0,0,,,,,0,1,,0,0,0,0.020066889632107,1
114,115,1,1,0.7020000000000001,0.298,Rolfe,,1,,,,,,,,,0,1,0,0,0,,,,,0,0,,0,0,0,0.00334448160535117,1
115,116,1,1,0.943,0.057,Rolland Darklyn,Ser,1,,,,,,,House Darklyn,,0,0,0,1,0,,,,,0,1,,0,0,0,0.0100334448160535,1
116,117,1,1,0.762,0.23800000000000002,Rollam Westerling,,1,,290.0,,,,,House Westerling,,0,0,1,1,0,,,,,0,0,15.0,0,0,0,0.0434782608695652,1
117,118,1,1,0.99,0.01,Romny Weaver,,1,Ironborn,,,,,,House Weaver,,0,0,0,1,0,,,,,0,0,,0,0,0,0.020066889632107,1
118,119,1,0,0.39399999999999996,0.606,Ronald Storm,,1,,,,,,,House Connington,,0,0,0,0,1,,,,,0,0,,0,0,0,0.040133779264214,1
119,120,1,0,0.2,0.8,Ronnel Stout,,0,Northmen,,,,,,House Stout,,0,0,1,0,0,,,,,0,0,,0,0,0,0.0334448160535117,1
120,121,1,1,0.7390000000000001,0.261,Ronnel Harclay,,0,,,,,,,House Harclay,,0,0,1,0,0,,,,,0,0,,0,0,0,0.0133779264214046,1
121,122,1,1,0.727,0.273,Roone,,1,,286.0,,,,,,,0,0,0,1,0,,,,,0,0,19.0,0,0,0,0.040133779264214,1
122,123,1,1,0.9890000000000001,0.011000000000000001,Roone (maester),Maester,1,,,,,,,,,0,0,1,1,0,,,,,0,1,,0,0,0,0.0100334448160535,1
123,124,1,1,0.996,0.004,Roryn Drumm,,0,Ironborn,,,,,,House Drumm,,0,0,0,1,0,,,,,0,0,,0,0,0,0.00334448160535117,1
124,125,1,0,0.478,0.522,Roose Ryswell,,1,Northmen,,,,,,House Ryswell,,0,0,0,1,1,,,,,0,0,,0,0,0,0.0301003344481605,1
125,126,1,1,0.9790000000000001,0.021,Rosamund Lannister,,0,,,,,,,House Lannister of Lannisport,,0,0,0,1,1,,,,,0,0,,0,0,0,0.0234113712374581,1
126,127,1,1,0.8190000000000001,0.18100000000000002,Rosey,,0,,284.0,,,,,,,0,0,0,1,0,,,,,0,0,21.0,0,0,0,0.0301003344481605,1
127,128,0,1,0.7829999999999999,0.217,Rowan,,1,Free folk,,300.0,,,,,,0,0,0,0,1,,,,,0,0,,0,0,0,0.060200668896321,0
128,129,1,1,0.603,0.397,Rudge,,0,,,,,,,Night's Watch,,1,0,0,0,0,,,,,0,0,,0,0,0,0.0,1
129,130,0,0,0.141,0.8590000000000001,Runciter,Grand Maester,1,,,112.0,,,,,,0,0,0,0,0,,,,,0,1,,0,0,0,0.244147157190635,0
130,131,1,1,0.971,0.028999999999999998,Rupert Crabb,Ser,0,,,,,,,House Crabb,,0,0,0,1,0,,,,,0,1,,0,0,0,0.00668896321070234,1
131,132,1,1,0.9990000000000001,0.001,Rus,,0,Ironmen,,,,,,Drowned men,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0100334448160535,1
132,133,1,1,0.813,0.187,Rusty Flowers,,1,,,,,,,Night's Watch,,0,0,0,0,1,,,,,0,0,,0,0,0,0.0,1
133,134,1,1,0.997,0.003,Ryam,Archmaester,1,,,,,,,,,0,0,0,1,0,,,,,0,1,,0,0,0,0.0133779264214046,1
134,135,1,1,0.9890000000000001,0.011000000000000001,Ryk,,1,Free folk,,,,,,,Munda,0,0,1,1,1,,,,1.0,1,0,,0,0,0,0.0267558528428093,1
135,136,0,1,0.746,0.254,Ryles,,0,,,299.0,,,,Night's Watch,,0,0,1,0,0,,,,,0,0,,0,0,0,0.0133779264214046,0
136,137,1,1,0.879,0.121,Rymolf,,0,Ironborn,,,,,,House Greyjoy,,0,0,0,0,0,,,,,0,0,,0,0,0,0.0,1
137,138,1,1,0.7959999999999999,0.204,S'vrone,,0,Braavosi,,,,,,,,0,0,0,0,0,,,,,0,0,,0,0,0,0.0133779264214046,1
138,139,1,1,0.74,0.26,Saathos,,0,,,,,,,,,0,1,0,0,0,,,,,0,0,,0,0,0,0.00334448160535117,1
139,140,1,0,0.212,0.7879999999999999,Sailor's Wife,,0,,,,,,,Happy Port,,0,0,0,0,0,,,,,0,0,,0,0,0,0.0468227424749163,1
140,141,0,0,0.151,0.8490000000000001,Sallor,,1,Qartheen,,299.0,,,,Stormcrows,,0,0,1,0,0,,,,,0,0,,0,0,0,0.0301003344481605,0
141,142,1,1,0.718,0.282,Salloreon,,1,,,,,,,Antler Men,,0,1,0,0,0,,,,,0,0,,0,0,0,0.0133779264214046,1
142,143,1,1,0.76,0.24,Sam Stoops,,1,,,,,,,House Osgrey,,0,0,0,0,0,,,,,0,0,,0,0,0,0.00334448160535117,1
143,144,1,1,0.978,0.022000000000000002,Samwell Spicer,Ser,1,,,,,,,House Spicer,,0,0,1,1,0,,,,,0,1,,0,0,0,0.0133779264214046,1
144,145,1,1,0.877,0.12300000000000001,Sargon Botley,,1,Ironborn,,,,,,House Botley,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0535117056856187,1
145,146,1,1,0.773,0.22699999999999998,Scarb,,0,,,,,,,,,0,0,1,0,0,,,,,0,0,,0,0,0,0.00668896321070234,1
146,147,1,1,0.7020000000000001,0.298,Sawwood,,1,,,,,,,Night's Watch,,0,0,1,0,0,,,,,0,0,,0,0,0,0.0100334448160535,1
147,148,1,1,0.746,0.254,Sedgekins,,0,,,,,,,,,0,0,1,0,0,,,,,0,0,,0,0,0,0.0,1
148,149,1,0,0.035,0.965,Sefton Staunton,Septon,1,,,,,,,House Staunton,,0,0,0,0,0,,,,,0,0,,0,0,0,0.0301003344481605,1
149,150,1,1,0.6709999999999999,0.32899999999999996,Serra,,0,Lysene,,,,,,,Illyrio Mopatis,0,0,0,0,1,,,,1.0,1,0,,0,0,0,0.0167224080267558,1
150,151,1,1,0.81,0.19,Sharna,,0,,,,,,,,Husband,0,0,1,1,0,,,,1.0,1,0,,0,0,0,0.0367892976588628,1
151,152,1,1,0.737,0.263,Shella,,0,,,,,,,,,1,0,0,0,0,,,,,0,0,,0,0,0,0.00334448160535117,1
152,153,1,1,0.7659999999999999,0.23399999999999999,Sherrit,King,0,,,,,,,,,0,0,1,0,0,,,,,0,1,,0,0,0,0.00334448160535117,1
153,154,1,1,0.976,0.024,Shortear,,0,westermen,,,,,,House Lannister,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0133779264214046,1
154,155,1,1,0.988,0.012,Shyra,,0,Northmen,,,,,,House Stark,,0,1,0,1,0,,,,,0,0,,0,0,0,0.020066889632107,1
155,156,1,1,0.998,0.002,Sigfry Stonetree,,1,Ironborn,,,,,,House Stonetree,,0,0,0,1,0,,,,,0,0,,0,0,0,0.00334448160535117,1
156,157,1,0,0.193,0.807,Sigrin,,1,Ironborn,,,,,,House Greyjoy,,0,1,1,0,0,,,,,0,0,,0,0,0,0.0234113712374581,1
157,158,1,1,0.6779999999999999,0.322,Simon Leygood,Ser,0,,,,,,,House Leygood,,0,0,0,0,0,,,,,0,1,,0,0,0,0.00334448160535117,1
158,159,1,1,0.746,0.254,Sky Blue Su,,0,,,,,,,,,0,0,1,0,0,,,,,0,0,,0,0,0,0.0,1
159,160,1,1,0.613,0.387,Skinner,,1,,,,,,,House Bolton,,0,0,0,0,1,,,,,0,0,,0,0,0,0.0334448160535117,1
160,161,1,1,0.8170000000000001,0.183,Skittrick,,0,Northmen,,,,,,House Stark,,0,1,0,0,0,,,,,0,0,,0,0,0,0.00668896321070234,1
161,162,1,1,0.968,0.032,Skyte,,1,Ironborn,,,,,,,,0,1,1,1,0,,,,,0,0,,0,0,0,0.0234113712374581,1
162,163,1,1,0.998,0.002,Sloey,,0,Braavosi,,,,,,,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0167224080267558,1
